Stock name,Symbol,Link
Wheels India Limited,WHEELS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WHEELS"""
Whirlpool Of India Limited,WHIRLPOOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WHIRLPOOL"""
Williamson Magor & Company Limited,WILLAMAGOR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WILLAMAGOR"""
Windlas Biotech Ltd,WINDLAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WINDLAS"""
Windsor Machines Limited,WINDMACHIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WINDMACHIN"""
Winsome Yarns Limited,WINSOME,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WINSOME"""
Western India Plywoods Ltd,WIPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WIPL"""
Wipro Limited,WIPRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WIPRO"""
Wockhardt Limited,WOCKPHARMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WOCKPHARMA"""
Wonderla Holidays Limited,WONDERLA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WONDERLA"""
Worth Peripherals Ltd,WORTH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WORTH"""
W S Industries (i) Limited,WSI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WSI"""
West Coast Paper Mills Limited,WSTCSTPAPR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:WSTCSTPAPR"""
Xchanging Solutions Limited,XCHANGING,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:XCHANGING"""
Xelpmoc Design and Tech Ltd,XELPMOC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:XELPMOC"""
Xpro India Limited,XPROINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:XPROINDIA"""
XT Global Infotech Ltd,XTGLOBAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:XTGLOBAL"""
Yaari Digital Integrated Services Ltd,YAARI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YAARI"""
Yasho Industries Ltd,YASHO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YASHO"""
Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YATHARTH"""
Yatra Online Ltd,YATRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YATRA"""
Yes Bank Limited,YESBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YESBANK"""
Yuken India Ltd,YUKEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:YUKEN"""
Zaggle Prepaid Ocean Services Ltd,ZAGGLE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZAGGLE"""
Zee Entertainment Enterprises Limited,ZEEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZEEL"""
Zee Learn Limited,ZEELEARN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZEELEARN"""
Zee Media Corporation Limited,ZEEMEDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZEEMEDIA"""
Zenith Exports Limited,ZENITHEXPO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZENITHEXPO"""
Zenith Steel Pipes & Industries Ltd,ZENITHSTL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZENITHSTL"""
Zensar Technologies Limited,ZENSARTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZENSARTECH"""
Zen Technologies Limited,ZENTEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZENTEC"""
ZF Commercial Vehicle Control System India Ltd,ZFCVINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZFCVINDIA"""
Zim Laboratories Ltd,ZIMLAB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZIMLAB"""
Zodiac Energy Ltd,ZODIAC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZODIAC"""
Zodiac Clothing Company Limited,ZODIACLOTH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZODIACLOTH"""
Zomato Ltd,ZOMATO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZOMATO"""
Zota Health Care Ltd,ZOTA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZOTA"""
Zuari Agro Chemicals Limited,ZUARI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZUARI"""
Zuari Industries Ltd,ZUARIIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZUARIIND"""
Zydus Lifesciences Ltd,ZYDUSLIFE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZYDUSLIFE"""
Zydus Wellness Limited,ZYDUSWELL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ZYDUSWELL"""
