Stock name,Symbol,Link

Hester Biosciences Limited,HESTERBIO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HESTERBIO"""
Heubach Colorants India Ltd,HEUBACHIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HEUBACHIND"""
Hexa Tradex Limited,HEXATRADEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HEXATRADEX"""
Hexaware Technologies Ltd,HEXT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HEXT"""
Himachal Futuristic Communications Limited,HFCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HFCL"""
H.G. Infra Engineering Ltd,HGINFRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HGINFRA"""
Hinduja Global Solutions Limited,HGS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HGS"""
Hikal Limited,HIKAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HIKAL"""
Hil Limited,HIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HIL"""
Hilton Metal Forging Limited,HILTON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HILTON"""
Himatsingka Seide Limited,HIMATSEIDE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HIMATSEIDE"""
Hindalco Industries Limited,HINDALCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDALCO"""
Hindustan Composites Limited,HINDCOMPOS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDCOMPOS"""
Hindcon Chemicals Ltd,HINDCON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDCON"""
Hindustan Copper Limited,HINDCOPPER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDCOPPER"""
Hindustan Motors Limited,HINDMOTORS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDMOTORS"""
Hindustan Oil Exploration Company Limited,HINDOILEXP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDOILEXP"""
Hindustan Petroleum Corporation Limited,HINDPETRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDPETRO"""
Hindustan Unilever Limited,HINDUNILVR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDUNILVR"""
Hindware Home Innovation Ltd,HINDWAREAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDWAREAP"""
Hindustan Zinc Limited,HINDZINC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HINDZINC"""
Hind Rectifiers Limited,HIRECT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HIRECT"""
Hisar Metal Industries Ltd,HISARMETAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HISARMETAL"""
Hi-Tech Pipes Ltd,HITECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HITECH"""
Hitech Corporation,HITECHCORP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HITECHCORP"""
The Hi-tech Gears Limited,HITECHGEAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HITECHGEAR"""
HLE Glascoat Ltd,HLEGLAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HLEGLAS"""
HLV Ltd,HLVLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HLVLTD"""
HMA Agro Industries Ltd,HMAAGRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HMAAGRO"""
Hmt Limited,HMT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HMT"""
Hindustan Media Ventures Limited,HMVL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HMVL"""
Hindustan Foods Ltd,HNDFDS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HNDFDS"""
Nippon India ETF Hang Seng Bees,HNGSNGBEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HNGSNGBEES"""
Home First Finance Company India Ltd,HOMEFIRST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HOMEFIRST"""
Honasa Consumer Ltd,HONASA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HONASA"""
Honeywell Automation India Limited,HONAUT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HONAUT"""
Honda Siel Power Products Limited,HONDAPOWER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HONDAPOWER"""
Hov Services Limited,HOVS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HOVS"""
HP Adhesives Ltd,HPAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HPAL"""
Hindprakash Industries Ltd,HPIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HPIL"""
Hpl Electric & Power Limited,HPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HPL"""
Himadri Speciality Chemical Limited,HSCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HSCL"""
Ht Media Limited,HTMEDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HTMEDIA"""
Hubtown Limited,HUBTOWN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HUBTOWN"""
Housing and Urban Development Corporation,HUDCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HUDCO"""
Huhtamaki India Ltd,HUHTAMAKI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HUHTAMAKI"""
Hybrid Financial Services Ltd,HYBRIDFIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HYBRIDFIN"""
Hyundai Motor India Ltd,HYUNDAI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:HYUNDAI"""
ICDS Ltd,ICDSLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICDSLTD"""
